yammnet_label,yammnet_label_ja,ja,ja_by_translator
Speech,話し声,話し声,スピーチ
"Child speech, kid speaking",子供の話し声,子供の話し声,子供のスピーチ、子供が話します
Conversation,会話,,会話
"Narration, monologue",ナレーション、独白,,ナレーション、独白
Babbling,せせらぎ,,せせらぎ
Speech synthesizer,音声シンセサイザー,,音声シンセサイザー
Shout,叫び,叫び,叫ぶ
Bellow,怒鳴り声,怒鳴り声,怒鳴ります
Whoop,雄叫び,雄叫び,whoop
Yell,大声で叫ぶ,大声で叫ぶ,エール
Children shouting,叫ぶ子供たち,,叫ぶ子供たち
Screaming,悲鳴,悲鳴,叫ぶ
Whispering,ささやき声,ささやき声,ささやき
Laughter,笑い声,笑い声,笑い
Baby laughter,赤ちゃんの笑い声,赤ちゃんの笑い声,赤ちゃんの笑い
Giggle,クスクス笑い,クスクス笑い,笑い
Snicker,鼻で笑う,鼻で笑う,スニッカー
Belly laugh,爆笑,爆笑,腹は笑います
"Chuckle, chortle",嬉しそうな笑い,嬉しそうな笑い,笑い、チョートル
"Crying, sobbing",すすり泣き,すすり泣き,泣いて、すすり泣く
"Baby cry, infant cry",赤ちゃんの泣き声、幼児の泣き声,,赤ちゃんの泣き声、幼児の泣き声
Whimper,ささやき,ささやき,ささやきます
"Wail, moan",嘆き、うめき声,,嘆き、うめき声
Sigh,はぁ,,はぁ
Singing,歌い声,歌い声,歌う
Choir,合唱団,,合唱団
Yodeling,ヨーデル,ヨーデル,ヨーデリング
Chant,聖歌,,聖歌
Mantra,マントラ（ヒンデュー教など）,マントラ（ヒンデュー教など）,マントラ
Child singing,子供の歌,,子供の歌
Synthetic singing,ボカロ,ボカロ,合成歌
Rapping,ラップ,,ラップ
Humming,ハミング,,ハミング
Groan,うめき声,,うめき声
Grunt,うなり声,,うなり声
Whistling,口笛,口笛,口笛を吹く
Breathing,呼吸,,呼吸
Wheeze,苦しそうな息,苦しそうな息,喘鳴
Snoring,いびき,,いびき
Gasp,あえぎ,,あえぎ
Pant,荒い息,荒い息,パンツ
Snort,鼻を鳴らします,,鼻を鳴らします
Cough,咳,,咳
Throat clearing,咳払い,咳払い,喉の清算
Sneeze,くしゃみ,,くしゃみ
Sniff,嗅ぐ,嗅ぐ,スニッフ
Run,走る,,走る
Shuffle,足を引きずる,足を引きずる,シャッフル
"Walk, footsteps",歩く、足跡,,歩く、足跡
"Chewing, mastication",噛む、咀嚼,噛む、咀嚼,噛む、咀astic
Biting,噛む,,噛む
Gargling,うがい,,うがい
Stomach rumble,胃の鳴き声,,胃の鳴き声
"Burping, eructation",げっぷ、おくび,げっぷ、おくび,げっぷ、駆け出し
Hiccup,しゃっくり,,しゃっくり
Fart,おなら,,おなら
Hands,手,,手
Finger snapping,指パッチン,指パッチン,フィンガースナップ
Clapping,手を叩く,手を叩く,拍手
"Heart sounds, heartbeat",心音、ハートビート,,心音、ハートビート
Heart murmur,心雑音,,心雑音
Cheering,応援,,応援
Applause,拍手,,拍手
Chatter,おしゃべり,,おしゃべり
Crowd,群衆,,群衆
"Hubbub, speech noise, speech babble",騒音,騒音,Hubbub、Speech Noise、SpeechBabble
